product_name,price,covered_countries,speed,gb
ReadyRoam ASEAN 1GB,12,Brunei|Cambodia|Indonesia|Laos|Malaysia|Myanmar|Philippines|Thailand|Vietnam,4G,1
ReadyRoam ASEAN 2GB,18,Brunei|Cambodia|Indonesia|Laos|Malaysia|Myanmar|Philippines|Thailand|Vietnam,4G,2
ReadyRoam Asia 2GB,20,China|Hong Kong|India|Japan|Macau|South Korea|Taiwan,4G,2
ReadyRoam Asia 4GB,32,China|Hong Kong|India|Japan|Macau|South Korea|Taiwan,4G,4
ReadyRoam Global 3GB,35,Australia|Canada|France|Germany|Italy|Japan|New Zealand|South Korea|UK|USA,4G,3
ReadyRoam Global 5GB,55,Australia|Canada|France|Germany|Italy|Japan|New Zealand|South Korea|UK|USA,4G,5
ReadyRoam 5GB Multi-Country,50,Australia|China|France|Germany|Hong Kong|India|Indonesia|Italy|Japan|Macau|Malaysia|New Zealand|Philippines|South Korea|Taiwan|Thailand|UK|USA|Vietnam,4G,5
ReadyRoam 10GB Multi-Country,90,Australia|China|France|Germany|Hong Kong|India|Indonesia|Italy|Japan|Macau|Malaysia|New Zealand|Philippines|South Korea|Taiwan|Thailand|UK|USA|Vietnam,4G,10
Daily Unlimited Data Roaming,12,Singapore|Malaysia|Indonesia|Thailand|Philippines|Australia,4G,Unlimited
Daily Unlimited Data Roaming Premium,20,Singapore|Malaysia|Indonesia|Thailand|Philippines|Australia|USA|UK|Japan,4G,Unlimited
ReadyRoam Europe 1GB,15,France|Germany|Italy|Netherlands|Spain|Switzerland|UK,4G,1
ReadyRoam Europe 3GB,35,France|Germany|Italy|Netherlands|Spain|Switzerland|UK,4G,3
ReadyRoam USA 2GB,25,USA|Canada|Mexico,4G,2
ReadyRoam USA 5GB,48,USA|Canada|Mexico,4G,5
ReadyRoam Australia 1GB,10,Australia,4G,1
ReadyRoam Australia 3GB,22,Australia,4G,3
ReadyRoam Japan 1GB,12,Japan,4G,1
ReadyRoam Japan 3GB,28,Japan,4G,3
ReadyRoam China 1GB,12,China,4G,1
ReadyRoam China 3GB,28,China,4G,3
